Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC25,25,0.05,0.23,0.14,0,0,339.23,11.7,0.607,140.044,0.016,0.015,0.062,26.426,1.664,0.597,1.985,1.269,0.206,0.209,302.16,231.57,106.124,1387.555,2295.815,636.891
MSC25,25,0.23,0.35,0.29,0,0,440.29,21.1,1.16,488.498,0.041,0.024,0.021,76.533,5.25,1.815,7.084,1.806,0.448,0.271,936.835,670.882,170.216,4132.893,6985.349,1875.16
MSC25,25,0.35,0.55,0.45,0,0,521.26,17.2,0.843,561.75,0.037,0.023,0.043,83.119,6.124,1.24,4.309,1.821,0.307,0.241,882.702,591.452,133.976,3679.209,5970.137,2020.894
MSC25,25,0.55,0.76,0.655,0,0,603.8,15.9,0.6925,1148.387,0.054,0.057,0.019,2010.513,13.074,6.153,12.803,2.763,2.818,0.549,1736.207,584.868,214.508,2541.143,3613.177,5491.144
MSC25,25,0.76,1.35,1.055,0,0.08,281.13,19.8,0.788,127.326,0.026,0.018,0.034,919.531,22.145,2.586,6.975,4.315,1.395,0.949,3125.227,1214.335,151.033,3763.386,5126.066,5707.684
MSC26,26,0,0.05,0.025,0,0,485.84,29.4,0.849,73.68,0.013,0.02,0.061,103.823,4.476,0.032,0.441,1.219,0.019,0.136,90.329,98.221,308.336,250.322,1079.753,229.328
MSC26,26,0.05,0.37,0.21,0,0,281.6,11.3,0.524,25.601,0.008,0.009,0.04,31.837,1.197,0.132,0.35,0.71,0.036,0.061,97.249,81.81,139.955,525.695,811.745,242.424
MSC26,26,0.37,0.67,0.52,0,0,254.84,15.1,0.713,129.773,0.014,0.012,0.025,92.853,3.308,0.879,1.831,1.097,0.704,0.165,302.448,254.873,98.714,1537.043,2378.163,729.839
MSC26,26,0.67,1.05,0.86,0,0.52,730.45,24.7,0.996,648.938,0.063,0.019,0.04,579.264,14.106,9.184,5.474,1.498,5.402,0.546,530.634,320.785,113.575,2005.671,3160.616,2186.244
MSC27,27,0,0.08,0.04,0,0.02,114.48,8.18,0.41,14.347,0.013,0.055,0.046,16.896,0.153,0.056,0.073,1.013,0.03,0.198,5.656,26.921,39.743,221.683,520.146,86.904
